2025-01-27 13:32:05,938 - WARNING - Config file not found. Creating default config...
2025-01-27 13:32:05,989 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 13:32:13,063 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 13:44:48,383 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 13:55:22,387 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:15:26,366 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:15:44,436 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:16:07,467 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:16:34,434 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:16:40,851 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:20:56,225 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:21:19,146 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:22:04,311 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:32:13,503 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:35:05,126 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:35:38,710 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:35:51,063 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:38:20,808 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:38:56,678 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:39:27,607 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:41:36,404 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 14:45:49,584 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:26:42,932 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:35:00,624 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:35:07,936 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:39:34,780 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:39:49,363 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:41:33,540 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:41:40,690 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:43:19,872 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:43:26,339 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:54:29,727 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:57:59,340 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 15:59:15,546 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
2025-01-27 16:04:50,284 - INFO - Configuration loaded: {'default_tickers': ['AAPL', 'MSFT', 'GOOGL'], 'data_directory': './data', 'watchlist_subdir': 'watchlist', 'portfolio_subdir': 'portfolio'}
